1,1,10
Best value,82.0000,68.0000,14.0000,15,1,0.7176,10,0
Clustering configuration: 
 Partition 0 (24): [ 0 6 7 16 19 21 24 28 30 32 39 48 54 55 56 60 64 65 73 79 83 88 91 95 ] 
 Partition 1 (21): [ 2 9 11 13 22 29 34 43 46 50 58 59 62 66 68 71 75 78 80 81 99 ] 
 Partition 2 (17): [ 12 15 18 31 35 37 38 41 45 47 49 57 69 70 72 84 97 ] 
 Partition 3 (15): [ 5 8 14 17 27 40 51 53 61 63 76 82 86 89 98 ] 
 Partition 4 (5): [ 20 25 42 77 96 ] 
 Partition 5 (1): [ 92 ] 
 Partition 6 (4): [ 4 26 36 74 ] 
 Partition 7 (1): [ 67 ] 
 Partition 8 (1): [ 33 ] 
 Partition 9 (3): [ 23 44 93 ] 
 Partition 10 (1): [ 90 ] 
 Partition 11 (3): [ 3 10 52 ] 
 Partition 12 (1): [ 85 ] 
 Partition 13 (2): [ 1 87 ] 
 Partition 14 (1): [ 94 ] 
