Filename, RI(P), RI(P)+, RI(P)-, k, Local time(s), Global time(s), Params, Total Iter, Total Comb
Manning_Shofner_Brusco.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 13, 0.0, 1.83993, RCC-Node0-l2-k13-iterations.csv, 3, 28146
McKinne.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 12, 0.0, 2.71334, RCC-Node0-l2-k12-iterations.csv, 3, 45248
MediatorN1.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 3, 0.0, 0.00324664, RCC-Node0-l2-k3-iterations.csv, 3, 221
MediatorN1_Modif.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 4, 0.0, 0.00941856, RCC-Node0-l2-k4-iterations.csv, 3, 554
MediatorN1_Modif2.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 7, 0.0, 0.0577388, RCC-Node0-l2-k7-iterations.csv, 3, 2483
MediatorP1.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 9, 0.0, 0.150265, RCC-Node0-l2-k9-iterations.csv, 3, 4544
MonkT2.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 10, 0.0, 0.509987, RCC-Node0-l2-k10-iterations.csv, 3, 11295
MonkT3.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 7, 0.0, 0.137451, RCC-Node0-l2-k7-iterations.csv, 3, 4809
MonkT4.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 13, 0.0, 1.27641, RCC-Node0-l2-k13-iterations.csv, 3, 20554
MonkT4Sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 9, 0.0, 0.335489, RCC-Node0-l2-k9-iterations.csv, 3, 8834
NewComb.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 0.0, 0.0, 0.0, 11, 0.0, 0.613815, RCC-Node0-l2-k11-iterations.csv, 3, 12530
ha_sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 16.0, 0.0, 16.0, 16, 0.0, 6.16649, RCC-Node0-l2-k4-iterations.csv, 31, 47909
haddate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 2.0, 0.0, 2.0, 14, 0.0, 3.11939, RCC-Node0-l2-k5-iterations.csv, 22, 36084
hafriend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 3.0, 0.0, 3.0, 12, 0.0, 3.26716, RCC-Node0-l2-k5-iterations.csv, 18, 47900
haroommate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 3.0, 0.0, 3.0, 10, 0.0, 1.75762, RCC-Node0-l2-k5-iterations.csv, 15, 29401
haweekend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 2.0, 0.0, 2.0, 13, 0.0, 2.63766, RCC-Node0-l2-k5-iterations.csv, 18, 33949
hb_sum.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 21.0, 0.0, 21.0, 16, 0.0, 4.07582, RCC-Node0-l2-k4-iterations.csv, 45, 32489
hbddate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 4.0, 1.0, 3.0, 15, 0.0, 3.45785, RCC-Node0-l2-k4-iterations.csv, 25, 38992
hbfriend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 5.0, 0.0, 5.0, 10, 0.0, 0.993668, RCC-Node0-l2-k4-iterations.csv, 20, 17015
hbroommate.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 4.0, 1.0, 3.0, 12, 0.0, 1.19654, RCC-Node0-l2-k4-iterations.csv, 21, 17221
hbweekend.dat/20140225_002540_2a251cdc-16a9-4fff-9d40-c1d03e5044c3, 2.0, 0.0, 2.0, 12, 0.0, 1.23293, RCC-Node0-l2-k4-iterations.csv, 25, 17624
