1,1,400
Best value,68.0000,54.0000,14.0000,15,1,3.2767,900,0,0.00
Clustering configuration: 
 Partition 0 (25): [ 0 5 6 7 12 14 16 28 30 32 39 48 49 50 60 64 65 73 76 79 83 88 91 94 95 ] 
 Partition 1 (22): [ 9 11 15 20 24 25 31 41 43 58 59 62 66 70 71 72 78 81 84 85 86 99 ] 
 Partition 2 (17): [ 8 13 18 19 22 29 34 36 38 45 46 47 55 56 74 80 98 ] 
 Partition 3 (13): [ 2 27 35 37 51 57 61 63 69 82 90 96 97 ] 
 Partition 4 (9): [ 10 21 23 33 40 44 52 54 93 ] 
 Partition 5 (1): [ 67 ] 
 Partition 6 (1): [ 92 ] 
 Partition 7 (2): [ 4 26 ] 
 Partition 8 (1): [ 42 ] 
 Partition 9 (3): [ 17 53 89 ] 
 Partition 10 (2): [ 1 87 ] 
 Partition 11 (1): [ 3 ] 
 Partition 12 (1): [ 68 ] 
 Partition 13 (1): [ 75 ] 
 Partition 14 (1): [ 77 ] 
