1,1,1
1,211,195,16,12,0.0382
2,219.0000,194.0000,25.0000,13,0.0587
Best value,211.0000,195.0000,16.0000,13,1,0.0382,3
Clustering configuration: 
 Partition 0 (3): [ 2 12 37 ] 
 Partition 1 (3): [ 3 8 24 ] 
 Partition 2 (3): [ 1 7 18 ] 
 Partition 3 (3): [ 26 28 30 ] 
 Partition 4 (3): [ 23 34 36 ] 
 Partition 5 (3): [ 22 32 33 ] 
 Partition 6 (4): [ 6 13 19 27 ] 
 Partition 7 (3): [ 4 5 21 ] 
 Partition 8 (3): [ 10 25 31 ] 
 Partition 9 (3): [ 11 15 35 ] 
 Partition 10 (4): [ 14 20 29 38 ] 
 Partition 11 (4): [ 0 9 17 39 ] 
 Partition 12 (1): [ 16 ] 
