Filename, I(P), I(P)+, I(P)-, k, Iter, Local time(s), Global time(s), Params, Total Iter, Total Comb
file200_10_2.g/random-cuda-20140605_174208, 5.0, 2.0, 3.0, 2, 4, 0.004, 0.38572, CC-Node0-l1a0.8-iterations.csv, 405, 0
file200_10_5.g/random-cuda-20140605_174208, 6.0, 5.0, 1.0, 3, 11, 0.0126, 0.474352, CC-Node0-l1a0.8-iterations.csv, 412, 0
file200_10_8.g/random-cuda-20140605_174208, 1.0, 1.0, 0.0, 5, 1, 0.0012, 0.409147, CC-Node0-l1a0.8-iterations.csv, 402, 0
file200_20_2.g/random-cuda-20140605_174208, 14.0, 1.0, 13.0, 2, 2, 0.0023, 0.439456, CC-Node0-l1a0.8-iterations.csv, 403, 0
file200_20_5.g/random-cuda-20140605_174208, 16.0, 15.0, 1.0, 4, 26, 0.0323, 0.511803, CC-Node0-l1a0.8-iterations.csv, 427, 0
file200_20_8.g/random-cuda-20140605_174208, 6.0, 6.0, 0.0, 5, 10, 0.0115, 0.491449, CC-Node0-l1a0.8-iterations.csv, 411, 0
file200_50_2.g/random-cuda-20140605_174208, 38.0, 0.0, 38.0, 1, 1, 0.0014, 0.478707, CC-Node0-l1a0.8-iterations.csv, 402, 0
file200_50_5.g/random-cuda-20140605_174208, 59.0, 46.0, 13.0, 4, 2, 0.0034, 0.68328, CC-Node0-l1a0.8-iterations.csv, 403, 0
file200_50_8.g/random-cuda-20140605_174208, 23.0, 21.0, 2.0, 7, 13, 0.0218, 0.734471, CC-Node0-l1a0.8-iterations.csv, 414, 0
file200_80_2.g/random-cuda-20140605_174208, 61.0, 0.0, 61.0, 1, 1, 0.0, 0.442198, CC-Node0-l1a0.8-iterations.csv, 402, 0
file200_80_5.g/random-cuda-20140605_174208, 104.0, 79.0, 25.0, 4, 4, 0.0067, 0.721205, CC-Node0-l1a0.8-iterations.csv, 405, 0
file200_80_8.g/random-cuda-20140605_174208, 48.0, 42.0, 6.0, 9, 143, 0.2554, 0.953733, CC-Node0-l1a0.8-iterations.csv, 544, 0
