4,2
Best value,16.0000,0.0000,16.0000,16,0.0000,31,47909
Clustering configuration: 
 Partition 0 (2): [ 11 19 ] 
 Partition 1 (1): [ 2 ] 
 Partition 2 (1): [ 7 ] 
 Partition 3 (3): [ 0 9 16 ] 
 Partition 4 (1): [ 5 ] 
 Partition 5 (1): [ 13 ] 
 Partition 6 (1): [ 14 ] 
 Partition 7 (1): [ 10 ] 
 Partition 8 (1): [ 8 ] 
 Partition 9 (1): [ 20 ] 
 Partition 10 (3): [ 3 4 15 ] 
 Partition 11 (1): [ 6 ] 
 Partition 12 (1): [ 18 ] 
 Partition 13 (1): [ 17 ] 
 Partition 14 (1): [ 12 ] 
 Partition 15 (1): [ 1 ] 
