1,1,1
1,218,197,21,13,0.0216
2,212.0000,197.0000,15.0000,13,0.0503
3,212.0000,196.0000,16.0000,14,0.0836
Best value,212.0000,197.0000,15.0000,14,2,0.0503,4
Clustering configuration: 
 Partition 0 (4): [ 6 16 19 36 ] 
 Partition 1 (3): [ 10 25 31 ] 
 Partition 2 (3): [ 22 32 33 ] 
 Partition 3 (3): [ 21 29 34 ] 
 Partition 4 (2): [ 26 30 ] 
 Partition 5 (3): [ 8 9 20 ] 
 Partition 6 (4): [ 1 17 28 39 ] 
 Partition 7 (3): [ 2 12 37 ] 
 Partition 8 (1): [ 7 ] 
 Partition 9 (4): [ 3 4 14 24 ] 
 Partition 10 (3): [ 5 13 27 ] 
 Partition 11 (1): [ 0 ] 
 Partition 12 (3): [ 11 15 35 ] 
 Partition 13 (3): [ 18 23 38 ] 
