Filename, I(P), I(P)+, I(P)-, k, Iter, Local time(s), Global time(s), Params, Total Iter, Total Comb
Edge_weighted_Matrix_Brusco.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 3, 153, 0.1878, 0.1891, Node0-l2a0.8-iterations.csv, 153, 59421
MNEG.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 4.0, 2.0, 2.0, 2, 1, 0.0016, 0.644722, Node0-l2a0.8-iterations.csv, 402, 220317
MPOS.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 5.0, 5.0, 0.0, 2, 1, 0.0018, 0.633236, Node0-l2a0.8-iterations.csv, 402, 217362
Manning_Shofner_Brusco.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 770.0, 502.0, 268.0, 9, 1, 0.075, 29.1178, Node0-l2a0.8-iterations.csv, 402, 7838169
McKiney.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 102.0, 15.0, 87.0, 2, 1, 0.0072, 2.89554, Node0-l2a0.8-iterations.csv, 402, 1047717
McKiney.net/20140224_211037_ac726f12-f348-4c2e-9949-fcf0649760da, 102.0, 15.0, 87.0, 2, 1, 0.3383, 157.232, CC-Node0-l2a0.8-iterations.csv, 402, 1373888
NewComb.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 16.0, 11.0, 5.0, 4, 2, 0.0145, 3.05188, Node0-l2a0.8-iterations.csv, 403, 1215231
NewCombOLD.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 86.0, 44.0, 42.0, 3, 2, 0.0069, 1.48127, Node0-l2a0.8-iterations.csv, 403, 559959
SAMPLE2.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 3, 2, 0.0032, 0.00346627, Node0-l2a0.8-iterations.csv, 2, 1118
SAMPLE66.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 2, 3, 0.0087, 0.00905862, Node0-l2a0.8-iterations.csv, 3, 1491
SAMPLE9.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 2, 2, 0.0056, 0.00608628, Node0-l2a0.8-iterations.csv, 2, 903
SAM_AFF2.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 35.0, 33.0, 2.0, 3, 1, 0.0053, 1.9439, Node0-l2a0.8-iterations.csv, 402, 774314
SAM_AFF3.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 22.0, 21.0, 1.0, 3, 2, 0.0083, 1.91451, Node0-l2a0.8-iterations.csv, 403, 743191
SAM_AFF4.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 21.0, 20.0, 1.0, 3, 1, 0.0063, 1.73853, Node0-l2a0.8-iterations.csv, 402, 680236
ha_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 64.0, 45.0, 19.0, 4, 1, 0.0123, 4.56149, Node0-l2a0.8-iterations.csv, 402, 1757338
ha_symm_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 48.0, 29.0, 19.0, 4, 4, 0.0429, 4.47493, Node0-l2a0.8-iterations.csv, 405, 1757860
haddate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 17.0, 12.0, 5.0, 4, 1, 0.012, 4.49309, Node0-l2a0.8-iterations.csv, 402, 1718783
hafriend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 15.0, 12.0, 3.0, 4, 5, 0.0551, 4.88304, Node0-l2a0.8-iterations.csv, 406, 1965794
hafriend.net/20140224_211037_ac726f12-f348-4c2e-9949-fcf0649760da, 15.0, 15.0, 0.0, 5, 19, 13.543, 338.196, CC-Node0-l2a0.8-iterations.csv, 420, 2921576
haroommate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 13.0, 12.0, 1.0, 4, 4, 0.0312, 4.23097, Node0-l2a0.8-iterations.csv, 405, 1714017
haweekend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 14.0, 14.0, 0.0, 5, 2, 0.0321, 5.88323, Node0-l2a0.8-iterations.csv, 403, 2260767
haweekend.net/20140224_211037_ac726f12-f348-4c2e-9949-fcf0649760da, 14.0, 14.0, 0.0, 5, 11, 11.7409, 410.022, CC-Node0-l2a0.8-iterations.csv, 412, 3450642
hb_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 81.0, 61.0, 20.0, 4, 1, 0.0078, 2.90522, Node0-l2a0.8-iterations.csv, 402, 1102056
hbddate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 18.0, 17.0, 1.0, 4, 1, 0.0099, 3.69637, Node0-l2a0.8-iterations.csv, 402, 1041079
hbfriend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 18.0, 17.0, 1.0, 4, 7, 0.0453, 2.2068, Node0-l2a0.8-iterations.csv, 408, 868332
hbroommate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 17.0, 14.0, 3.0, 4, 1, 0.0077, 2.4787, Node0-l2a0.8-iterations.csv, 402, 950687
hbweekend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 19.0, 11.0, 8.0, 3, 4, 0.0209, 2.38533, Node0-l2a0.8-iterations.csv, 405, 944294
hc_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 59.0, 52.0, 7.0, 4, 3, 0.0265, 3.34341, Node0-l2a0.8-iterations.csv, 404, 1292183
hcddate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 13.0, 10.0, 3.0, 3, 1, 0.0065, 2.48192, Node0-l2a0.8-iterations.csv, 402, 958780
hcfriend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 14.0, 8.0, 6.0, 3, 1, 0.01, 2.665, Node0-l2a0.8-iterations.csv, 402, 1074304
hcroommate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 18.0, 12.0, 6.0, 3, 17, 0.148, 4.04956, Node0-l2a0.8-iterations.csv, 418, 1634582
hcweekend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 14.0, 7.0, 7.0, 3, 1, 0.0058, 2.84357, Node0-l2a0.8-iterations.csv, 402, 1140539
