Filename, RI(P), RI(P)+, RI(P)-, k, Local time(s), Global time(s), Params, Total Iter, Total Comb
Edge_weighted_Matrix_Brusco.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 3, 0.0, 0.0364784, RCC-Node0-l2-k3-iterations.csv, 3, 141
MNEG.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 8, 0.0, 1.42266, RCC-Node0-l2-k2-iterations.csv, 17, 5235
MPOS.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 7, 0.0, 0.762536, RCC-Node0-l2-k2-iterations.csv, 19, 2780
Manning_Shofner_Brusco.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 19, 0.0, 62.1068, RCC-Node0-l2-k9-iterations.csv, 67, 136682
McKiney.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 4.0, 1.0, 3.0, 12, 0.0, 16.8334, RCC-Node0-l2-k2-iterations.csv, 66, 48932
NewComb.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 6, 0.0, 0.870386, RCC-Node0-l2-k4-iterations.csv, 16, 3273
NewCombOLD.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 10, 0.0, 3.59515, RCC-Node0-l2-k3-iterations.csv, 41, 11567
SAMPLE2.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 3, 0.0, 0.0307765, RCC-Node0-l2-k3-iterations.csv, 3, 116
SAMPLE66.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 3, 0.0, 0.0487152, RCC-Node0-l2-k2-iterations.csv, 7, 195
SAMPLE9.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 2, 0.0, 0.0139091, RCC-Node0-l2-k2-iterations.csv, 3, 48
SAM_AFF2.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 9, 0.0, 3.079, RCC-Node0-l2-k3-iterations.csv, 29, 9940
SAM_AFF3.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 7, 0.0, 1.76675, RCC-Node0-l2-k3-iterations.csv, 25, 6266
SAM_AFF4.NET/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 7, 0.0, 1.83867, RCC-Node0-l2-k3-iterations.csv, 21, 6641
ha_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 12, 0.0, 15.0495, RCC-Node0-l2-k4-iterations.csv, 37, 43151
ha_symm_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 1.0, 0.0, 1.0, 8, 0.0, 3.0966, RCC-Node0-l2-k4-iterations.csv, 31, 10775
haddate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 1.0, 0.0, 1.0, 11, 0.0, 10.784, RCC-Node0-l2-k4-iterations.csv, 29, 31178
hafriend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 9, 0.0, 2.95294, RCC-Node0-l2-k4-iterations.csv, 16, 13257
hafriend.net/20140224_211037_ac726f12-f348-4c2e-9949-fcf0649760da, 3.0, 0.0, 3.0, 14, 0.0, 57.7529, RCC-Node0-l2-k5-iterations.csv, 20, 40794
haroommate.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 1.0, 0.0, 1.0, 7, 0.0, 2.01818, RCC-Node0-l2-k4-iterations.csv, 15, 7222
haweekend.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 8, 0.0, 2.85919, RCC-Node0-l2-k5-iterations.csv, 13, 10073
haweekend.net/20140224_211037_ac726f12-f348-4c2e-9949-fcf0649760da, 2.0, 0.0, 2.0, 13, 0.0, 55.9255, RCC-Node0-l2-k5-iterations.csv, 16, 44764
hb_sum.net/20131212_002453_2ce0163d-4da4-4057-8777-b19e1afd5384, 0.0, 0.0, 0.0, 12, 0.0, 8.19121, RCC-Node0-l2-k4-iterations.csv, 39, 22197
