0.8,2,400
1,2,0,2,2,0.0004
2,2.0000,0.0000,2.0000,2,0.0008
3,4.0000,0.0000,4.0000,2,0.0012
4,2.0000,0.0000,2.0000,2,0.0016
5,2.0000,2.0000,0.0000,2,0.0023
6,4.0000,4.0000,0.0000,2,0.0027
7,4.0000,4.0000,0.0000,2,0.0030
8,4.0000,2.0000,2.0000,2,0.0034
9,4.0000,4.0000,0.0000,2,0.0038
10,4.0000,4.0000,0.0000,2,0.0041
11,2.0000,0.0000,2.0000,2,0.0045
12,2.0000,0.0000,2.0000,2,0.0047
13,2.0000,0.0000,2.0000,2,0.0051
14,2.0000,2.0000,0.0000,2,0.0057
15,4.0000,4.0000,0.0000,2,0.0060
16,4.0000,4.0000,0.0000,2,0.0064
17,4.0000,4.0000,0.0000,2,0.0067
18,4.0000,4.0000,0.0000,2,0.0071
19,4.0000,4.0000,0.0000,2,0.0075
20,4.0000,4.0000,0.0000,2,0.0079
21,2.0000,0.0000,2.0000,2,0.0083
22,0.0000,0.0000,0.0000,2,0.0092
Best value,0.0000,0.0000,0.0000,3,22,0.0092,22,0
Clustering configuration: 
 Partition 0 (3): [ 4 7 8 ] 
 Partition 1 (3): [ 0 5 6 ] 
 Partition 2 (3): [ 1 2 3 ] 
